Tweet,Affect Dimension,
@lukeWHC09 Hahaaa! Was fuming with that ðŸ˜žðŸ˜‚,anger,
@ellagallagher Thing is tho my pout was actually serious🙄,anger,
"AJ ends up being a terrible character, but no one in his family ever actually speaks to him. He witnesses so much and just gets sent away.",anger,
"@ReidGenar @tedcruz So much crow eating to come, crows may become an endangered species. #revenge",anger,
it confuses me how burning man people seem to legitimately think they invented camping,anger,
Johnny doesn't seem like the suicidal type #suspicion #tcmparty,anger,
"Oh death, where is your sting?",anger,
@TracyMcMillan saw your insta about #anger. \n1) helpful perspectives! 2) thank you 3) I'm not an angry person: how to talk to angry people?,anger,
Am I in labor yet?? ðŸ˜­ðŸ˜« #miserable,anger,
"I respect facebook and them killing Snapchat. If you can't buy em, beat em #fb",anger,
@Seth_Broughton7 @SquerkYoshi @Mabbupuku @Emerldd @PartyInnaBox @cod_de_la_cod FREE MY MAN FROM KROGER ðŸ˜¤,anger,
@YaihraLovesU Oh my lord no I just be letting him hit himself cause he throws himself on the floor and throw tantrums ðŸ¤¦ðŸ½â€â€ï¸,anger,
@TrinityTheTuck Who do y'all never come to Boston? Or just Massachusetts in general? #bitter😠,anger,
@imaster78 @ll_DannyM7_ll @TOMGORIANXVII @STSF1_Racing I didn't say it because you left the party and game in a huff,anger,
"@PSHalabi what are the current statistics concerning 'backdoor abortions'. If alarming, what preemptive measures are in place?",anger,
@waglenikhil don't worry we will take revenge u plan to run naked first .. when r u doing it ... We are showing ur hypocrisy😠,anger,
"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",anger,
@kylegriffin1 @tkdmike you mean the ðŸŠðŸ¤¡ didn't tweet the correction...? #shocking,anger,
"Not only was @ReignOfApril and @deray responsible for the unnecessary outrage of this movie, but made the director @mattreevesLA look bad",anger,
hate tan lines but refuse to tan at a salon anymore. ðŸ„😤,anger,
Shoutout to all the pubescent girls who won't have to go through the tweeze your whole #eyebrows off phase. #socialmediasaves #bitter,anger,
I don't fear the unsettling demons inside of me. I let them conquer the weakest nook of my soul for that is the only provenance of my power.,anger,
@Impeach_D_Trump I was wondering earlier how much NPD rage has been slung at Jr. because he's not as cocky as usual. Lol Hopefully a lot.,anger,
"If Zero's flower is such a vector for God's wrath then I'm the raven who gardens and culls those weeds. Or, I EAT FLOWERS FOR ALL MEALS~!!'",anger,
I thought he cried over some of his relative death or something but when i know the truth . I just wanna burst out ðŸ˜‚,anger,
Okay this girl On teen mom is screaming but she only 2 cm dilated ðŸ˜­ when I was 2 cm I was just pissed bc she wouldn't give me water😠,anger,
Where did I go wrong?\nI lost a friend\nSomewhere along in the bitterness \nâ€”😡,anger,
"i'm freezing in the sun, i'm burning in the run😡",anger,
This weather is appalling but at the same time I'm glad it's not boiling anymore,anger,
#muggymike #revenge oh dear😡,anger,
@brrttcnln I don't suppose you've figured out how to get the extra boxes on the wrath of cortex?,anger,
"If someone gives you a confidential memo regarding the President of U.S., and tells you to leak it to the press, alarm bells should go off😤",anger,
Nicole: we have to go somewhere warm and tropical\nMe: okay where?\nNicole: Oakland\n\nWhy does no one in my life ever look at a map?? #lost😤,anger,
"AJ's epic 'Anger Montage' is coming up next! Kids, always be happy. Don't be an angry AJ.\n#anger #rage #montage",anger,
Nothing wrong with #anger it's how you use it!,anger,
@GLOBALINTLrp Not like that.. You said you wanna leave for a while and come back soon. I don't look for you bcs i'm afraid i'll annoy you..,anger,
@cyclingweekly 'shocking' ??? Nah that's not Shocking . Richie Portes crash ...THAT WAS shocking . #tourdefrance2017,anger,
"Secret is out, for bday gift taking my lovely @TLaughlin9 @summer1624 to @deadmau5 at @CaesarsWindsor in October #canada #rage",anger,
@Teenique yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new seasonðŸ˜😠,anger,
@liwei987891 Greetings! #Depression is #anger inward.Secondary feeling.Its hurt needs #healing.Tears taken from inward to outward.Eph4:19😠,anger,
@websvalor (c) grew with resentment for herself and the world around her.\n\nHer spine tingled as she heard the incessant clicking of a (c)😠,anger,
"Liberal Parisians were further enraged by the fear that a concentration of Royal troops, brought to Versailles from frontier garrisons,😤",anger,
"When you wake up early to workout and then the fitness room smells awful, so you come back to your room to do core...😠",anger,
"They are burning not Muslims Economy,\nThey are burning the Economy of Sri-Lanka😠",anger,
"Hi, are u feeling matter? Try our today's special cloudy blue thumb with ground beef and blueberry, then you will feel irate.😡😠",anger,
@Jenlynn219 I wonder if your face immediately contorts into a scowl when you put it on your head?😡,anger,
Then I frown,anger,
"The bathroom sink just spat a spider at me. I turned on the faucet, and a sizable spider flew up out of the drain. #spiders #fb",anger,
@RoguePOTUSStaff Maybe Don Jr isn't dumb but wants to take revenge on his dad?,anger,
@GvanOnselen @BDliveSA You mean the President Protector? The rabid revolution sleeper agent gone rogue?😤,anger,
Gutted for #andymurray. #sadness #balls #Wimbledon2017 ðŸŽ¾ðŸ˜¬ðŸŽ¾,anger,
I was patient â˜ðŸ¾âŒ›ï¸you was faking ðŸ¤¦ðŸ½â€â‚ï¸ðŸ–•ðŸ¾I was waiting ðŸ•°stuck around then the money came in ðŸ’°ðŸ’¸... Luv is rage 2 gone be hard ðŸ˜†,anger,
Working on the next #StarTrek #vidme video! I'm hoping I can fix my terrible audio crap from the last one ðŸ¤£ #SpecialBreedEnt,anger,
"- Make it unaffordable for locals.\n- Sell &amp; resell among their own.\n- 'No value, for money land' for locals.\n- Local resentment.",anger,
"@FlamingGrillby --been a damn sight better!' Grisk poked Grillby's chest, a low snarl leaving him.",anger,
@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,anger,
"Consider the language. She says DJT Jr. Sought, wasn't promised, dirt on HRC. Will inflame the left, may compel the right to lash out.",anger,
@kamaalrkhan #shows how #irritated @kamaalrkhan #brandkrk is #feeling for his #community #brothers! So #Helpless ðŸˆðŸˆðŸˆ #ShameOnBhakts,anger,
So Dorje Shugden has been sent a leaf to be torn. Rothschild is struck by Indra wrath lightning and also Iron Fist. 10 bloodlines 2b removed,anger,
"Honey, you hurt me the way the sun touches my skin today #burning😠",anger,
You can only help those who help themselves... #irritated #thisisntmyjob😡,anger,
Watching #insecure ... this bitch cheating on her loyal ass Boyfriend! And she makes breakfast to stay happy ðŸ„😡,anger,
@n_umira omg why â˜¹😡,anger,
@ANI_news Wot an insult.,anger,
No offense to the girl next to me but dousing yourself with cheap cologne won't hide your rank smell,anger,
Florian Picasso - Final Call' is raging at ShoutDRIVE!,anger,
my hair now matches my attitude #fiery😤,anger,
So tired. All these freshies and all i'm unhappy at are these volunteers.,anger,
@foxnewspolitics @HowardKurtz The left is sooo rabid for something of substance; yet they are forced to feed off innuendo and smearing😡😠,anger,
@catherinebenham DO THE THING enrage all the people who cannot Do The Thing😡😠,anger,
@Paula_Deen Why dont you have nothing #to. #insult #justajoke #seriously,anger,
@Alyssa_Milano @IvankaTrump #Alyssa Y don't U use your voice 4 good instead of #hatred &amp; #Resistance of @POTUS? I'm sure #Ivanka could help!😡,anger,
furious refrigerator makes you blitzed,anger,
"@AdamBaldwin He left a long time ago. In fact, the Repubican party left the Repubican party a long time ago. #shocking #nonotreally🤬",anger,
Traffic delays continue around Broadway #Treforest due to burst water main @DwrCymru currently dealing with the situation🤬,anger,
@ShaneMalwa @MajorPoonia @devyanidilli I believe ur mekka n madina also dikling which u kiss. A dark dirty one😠,anger,
All this fake outrage. Y'all need to stop ðŸ¤£,anger,
@laurierecords The worst is getting so very close to life changing contracts and coming up short. Feels like starting over. :-/ #relentless,anger,
Hi @AmazonHelp my hairdryer that is less than a year old has started smelling of burning plastic- can you help?,anger,
Can't pretend that I was perfect leaving you in fear #revenge ðŸ”¥ðŸ”¥ðŸ”¥😤,anger,
"With James gone, no player would be throwing tantrums when subbed anymore.",anger,
And let the depression take the stage once more ðŸƒ😠,anger,
@topnotch200 I don't know my mouth was burning the whole time,anger,
"@EdelMHennessy @DrBron The people worth knowing never behave like that, so methinks it's a bit of denial and resentment😒",anger,
Doors and windows closed but still it's hard to breath. #Vesuvio #Onfire #air #napoli #loveofmylife #burning,anger,
Hey @ShutdownSafety would it be safe to assume that this is the most disappointing #madden in years in your opinion?,anger,
@the_shota Too true- my logic was blinded by outrage ......,anger,
Instead of working on not offending others I wanna work on learning never to get offended. Life's to short to live on a fence #offense,anger,
@trash_addict Things I've been called/heard with literally no provocation. I've just played and talked about the game:,anger,
@Miss_Wisconsin It's amazing what not being told no enough can raise. #horrid,anger,
I keep it real.. sorry if you get offended ðŸ¤·ðŸ½â€â‚ï¸,anger,
@realDonaldTrump Maybe we can save them all from the desolate hell that I have no idea about,anger,
Love u so much but u always get angry at meðŸ˜”😡,anger,
the only problem people should have in the morning is burning their tounges on hot coffee (like i just did)😡,anger,
I've seen the innocence leave your eyes. I still mourn this death.,anger,
I have a fiery passion for dogs because of how destructive they are.,anger,
@dailysunsa Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee,anger,
"@narendramodi Sir, people need revenge",anger,
"Wanting to leave this planet, listening to what gets radio-play #grim",anger,
@KokuKokuBoo It's kay. They were my main healer/caster in HW...but not for SB (for now) sadly.,anger,
"@emilyhroderick Electronics also have foibles, personality faults, like to sulk and crash just like humans... switch off and desolder😒😠",anger,
mom asked if i wanted acrylics &amp; i said 'no because you never know when someone gon let me tickle they pussy' she was deeply offended. lbvs,anger,
"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fucking asked, I care ðŸ˜¤",anger,
@Laceupboxing Max Â£1 bet #crap,anger,
Mosquito bit my ankle this morning ðŸ˜¢ walking into the house .😠,anger,
"Again, this q. is brought to you by my slight feelings of irritation when I see 'obligated' over 'obliged', and I want to know if I'm right.",anger,
going to sleep was a bad idea i had a horrible nightmare abt what i hate the most in a nightmare but its fine im ok,anger,
"@PoliticsNewz Hmm where is the outrage from the WH! Oh yeah, wrong nationality!",anger,
@GoldingBF Genuine refugees are terrified of authority figures. They wouldn't provoke them like this mob.,anger,
discouraged😡,anger,
"@ahaf21 Maaaan... Fox &amp; The Hound ain't no joke. Also, Pinocchio is got damned terrifying. Legit horror film.",anger,
"@arifurldn ðŸ˜­ðŸ˜­yeah i wouldnt entertain bigots like that, gives them a reason for provocation😤",anger,
@ggreenwald Macron slips up and has a moment of clarity &amp; common sense...now he is a raging racist. Sounds right. #LiberalLogic,anger,
"I'm also wheezing really hard. I decided to make up today, and then after I got to work realized it was mbbsd, and now I'm #intimidated🤬",anger,
When you watch @WSOP #MainEvent and play a small tourn. in your local ðŸ‡¦ðŸ‡¹ cardroom. #limpedpot #familypot #horrible #polkish,anger,
@GutoAberconwy Your majority is 635 members of the public- believe me you have offended rather more than 635 voters!😤,anger,
"@realYoshiPlayer No offense, but this post makes you look like an opinion disrespecter.😠",anger,
@setsmiling Happy Birthday arsehole. Hope you have an average day â˜ºï¸â˜ºï¸😠😡,anger,
Found out the peraon i liked wanted to that someone else #sadness,anger,
man I hate Spider-Man and I ain't even watch it yet ðŸ˜¤😡,anger,
Battery drain &amp; a red hot iPhone (again) ðŸ #iOS11beta3,anger,
"@jhN322 Ephesians 4:31\nLet all #bitterness, #wrath, #anger, #clamor, and evil speaking be put away from you, with all #malice.😡",anger,
The courts are really going to frown upon #butheremails as a defense. #Trump has to be impeached. The rest of the Kremlin clan get a jury.😠,anger,
@nkrrao karamadai ranganatha. Pallikondeeswarar shiva. Some more avl. Dont outrage without reason @kalps1616😠,anger,
"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. Jeez ðŸ˜Ÿ",anger,
Police - This is the Police !! Open your door now !! \n\nMe - Not with that attitude !! ðŸ˜‚ðŸ˜‚ \n\n#sarcasm #insult #mockery,anger,
"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump.",anger,
@narendramodi There should need to take serious action over terrorism sir😡,anger,
@jennvalley14 There would be no hesitation in naming 50 other things I'd rather be doing rn😠,anger,
@whatthefarrugia still trembling,anger,
So who actually leaked the info on jr. meeting with Russian lawyer? Putin? Was he angry w Trump?,anger,
idk if i should be angry or happy that a local &amp; trusted online shop i've been following since 2015 is already doing wanna one g/o's KJDSAHK,anger,
@washingtonpost WP your the mouthpiece for the biggest supporters of cartels and arms dealers in a fast and furious way😡,anger,
"If you see @MikeGHealey these next few days, give him a disappointing head shake.......he broke my pop socket. .😡🙄",anger,
The second type of #anger is named 'settled and deliberate' and is a reaction to perceived deliberate harm or unfair treatment by others.,anger,
Good to see India indignant about Amarnath Yatra. Do also try and visit the area around it too. There may be some more graves to weep for.,anger,
@PocketsotFuture @YouTube U envying Blac Chyna money yet wanting donations urself 4 whiteman #gossip #snarl!😡,anger,
#RepChrisCollins ðŸŽƒ #spins #excuses for #hatred #racism Everyone in #America heard #TrumpðŸŽƒsay some #WhiteSupremacists are #GOODpeople âœ…MSNBC😡,anger,
"when shopping for clothing, grab a clerk by the shoulders &amp; angrily ask if you're at the flagship store to show you're serious about apparel",anger,
"Nice one #EE so much for data protection, not impressed that you can talk to someone the opposite sex who guessed my password,😡",anger,
"Chuck Norris enjoys hunting for rabid, vicious tigers with his cork rifle.",anger,
they blowing me ðŸ˜¤😒,anger,
"@FoxHedgehog @guardian I was too. Should've written in, but can't help wonder if this was reaction they wanted - righteous indignation!?",anger,
Pope fuming after police broke up drug-fuelled Vatican priest gay orgy' \nAts some headline😡,anger,
"@schuygoo : 'like honestly, partying would probably come #1 either way' \nðŸ˜‚ðŸ˜‚ #rage",anger,
A #nation is a #society #united by #delusions about its #ancestry and by common #hatred of its #neighbors.' #Fact #TeamFollowBack😡,anger,
Does anybody mom annoy them just by talking and she probably not even trying to annoy you ðŸ˜‚😡,anger,
#Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment! #bigly #covfefe #TrustNoOne,anger,
"@AudaciousBrute_ -- can handle myself.\n[Carl yelled back in fury, blood smeared across his face and clothes. Still holding onto his --😡",anger,
@_mxthew I said that once and my pals ripped me a new arsehole ðŸ˜Š😡,anger,
I can't believe a burrito was left on this sink and nobody though to trash it😡😠,anger,
I just remembered I made a presentation of the top 100 male idols out of anger after seeing that siwon was first,anger,
@schless09 @JohnnyB28 You guys are #huff,anger,
Pressure burst pipes !!😤,anger,
Waddup #bitter,anger,
"@ScottlnSC Do you live in Manhattan, broflake? You're fake outrage is at whiny-Millennial level.",anger,
"An #angry #person may lose his/her objectivity, empathy, prudence or thoughtfulness and may cause harm to others.😡",anger,
"Ideals are peaceful, history is violent. #fury",anger,
"Security lady at work this woman, opposite of Helen of Troy. Gave me a scowl that could sink a thousand ships.😤",anger,
"If I were my own republic, I would declare war on patchouli incense.😠",anger,
I really resent being liked openly. I don't find any challenge in being liked. John Cassavetes #johncassavetes,anger,
A @viaquest ego-fest AGAIN on LinkedIn. Advocate for a change. #arrogance is NOT #advocacy. So tired of their self promotion w/o purpose.,anger,
No man read the traffic properly!!! @KFMza @kfmradio @carlwastie #westuckinthismess #pleasereaditagain,anger,
Why is @DonaldJTrumpJr 'busted' bc he spoke w/Russian lawyer? He's a world bizman. Where was the outrage bc @SenSanders honeymooned there?,anger,
"Watching #ScottishOpenHeroChallenge from last night... Smoke, flames, tense sound effects and lively commentary.. #boring #dull #shite ðŸˆ",anger,
It bugs me that people concern themselves so much with what other people CHOOSE to do with their money ðŸ˜‚ðŸˆ😠,anger,
@SouthernRailUK no air working in the 1sr carriage of the 18:03 from Victoria to Bognor. #boiling #southernfail😡,anger,
@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you ðŸ˜‚ðŸ˜‚,anger,
@RedNationRising @POTUS Agree. I used to love her Fox show until she turned. Now she exudes a bitter attitude. She is done with television.,anger,
"big over sized clothes, hours of use for bad haircut, ðŸ˜Š real big rage #ðŸ‘",anger,
