,Tweet,Affect Dimension,Unnamed: 2
39,Daniel killing her ex doeeeðŸ«ðŸ«ðŸ«ðŸ˜› #insecure unamused face ,anger,
40,I've developed a new philosophy... I only #dread one day at a time. unamused face ,anger,
41,One day someone will change ur perspective from bitter to sweet from broken to complete face with steam from nose ,anger,
42,"@TheVintageYear growl like a dog, see if she lifts herself off and gives you space?",anger,
43,@DOBrienAJC What did you do to rile up all the Roberts?,anger,
44,@MobutuJoffrey @dreamloverepeat Did you see it? It's literally all porn. Does she really work for huff post?,anger,
45,#ColorFabb #Ngen Worst filament for me :( Good finish but so fragile :'( cc @ColorFabb,anger,
46,I'm a talkative person but how does the scowl on my face at 7 am lead my neighbors to believe that now is the time for conversation?,anger,
47,@SimonHeath1 @MJCarty @hilarygallo How's your day progressing folks? I've been profiled as a red classic director with fiery undertones. angry face ,anger,
48,I'm sorry. Im much more interested in the #BachelorInParadise rose ceremony than whatever @realDonaldTrump has. #seriously,anger,
49,Believe me: seasons change. Feelings fade. Life goes on. Do me a favor: endure the late night rage of emotions. (1/2),anger,
50,They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @codecityco @n8walke @dianap_patton @DrMattKutz unamused face ,anger,
51,"And we bloody got rid of Gregory so we will have 2 new goalkeepers in the team, what a fantastic start to the season.. angry face  pouting face ",anger,
52,@cherishnorminah well be offended then cause im speakin truths here ðŸ˜œ,anger,
53,Apologies don't have to be sincere. They make great place holders while you quietly harbor rage and plot adequate revenge.#TuesdayMotivation,anger,
54,@RiggsBarstool big revenge guy,anger,
55,"@markaw214 @appleofeden_3 @jjasq @XxPLWxX Ring a ring of roses isto do with the plague, Im sure that will offend someone",anger,
56,mood: kinda bitter bc lee hi didn't appear in jaewon debut mv,anger,
57,@TheAnchoredMrs I was the sixth grade teacher this year and last year the the fifth grade teacher who got mad when they did ðŸ˜‚,anger,
58,"James to Bayern is probably the smartest choice for him.\n\nAnd, frankly, this kind of scares me ðŸ˜²",anger,
59,"Lugubrious face, crestfallen eyes, forlorn heart and an agitated soul seeking serenity.",anger,
60,Fuck me on KIK guys : alice_b21\n#xxx #hot #teen #doggy #wet #snap #nude angry face ,anger,
61,@hateweed I had the worst alarm ringtone and would wake up irrationally pissed everyday until I changed it to something nice lol pouting face ,anger,
62,"i had a good ass day yesterday, went to sleep happy . man i woke up at 6 nigga &amp; im still happy wth , i'd usually be pissed as hell ðŸ˜‚",anger,
63,"â€œTell me, Doctor, are you afraid of #death?'\n'I guess it depends on how you #die.â€",anger,
64,Batman like to enrage the heat on the new dimity frock and proposed marriage to me! Polly Shaw will lay me a CBGB crazy balled,anger,
65,Whoever decided to put chat functions on company websites for customer service deserves all the medals. I hate talking on the phone,anger,
66,"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.",anger,
67,I want to give spiders emotions and self awareness. Picture if a spider could build resentment toward you. What if it KNEW you were afraid,anger,
68,I graduated yesterday and already had 8 family members asking what job I've got now ðŸ˜‚ #nightmare,anger,
69,@iamjannn And life is a nightmare,anger,
70,10/10 do not recommend burning your scalp in the sun. my parting is glowing red and it burns ðŸ˜‚ whereâ€s a cap when you need one?,anger,
71,@OfficialPLT Funny how you can tweet new deals but can't reply to my email or my tweet,anger,
72,"Found out today that you're suppoked to urinate on a jellyfish sting, NOT x jellyroll stain. Sorry, fat stranger.",anger,
73,Do not linger too long near the howff or you risk the displeasure of a chuhaister with pubes more underwhelming than those of an aurochs.,anger,
74,@DrewPap85 Never seen a frown in 4 years coaching. Again you have no basis for opinion. unamused face ,anger,
75,@LadyScully I didn't. We all went out and got pissed down the local instead. ðŸ˜„,anger,
76,@justicemalala The Guptas is the middle man from hell. ..men with cigars sitting and plotting in the dark of night,anger,
77,@ebyokeke Lol....anger is not the best defense for attack. \nWait what do u do when ure angry? pouting face ,anger,
78,@PlumRemson Sorry to offend. Just using some different levels of communications. I hear memes are popular in your circles.,anger,
79,@__iammike pecks your pout before waddling to the kitchen.,anger,
80,I'm so nervous I could puke + my body temp is rising ha ha ha ha ha,anger,
81,Bring back the scratch and sniff Avon books. Then yer da sells Avon wouldn't even be an insult,anger,
82,@DeeDlams @RanjeniM This meme is #offline #countryduty soldiers engage not insult or belittle,anger,
83,@sebtsb YOU NEVER TOLD MOI #jkjk,anger,
84,@snowberrytae When I just added @Gochi_mong on snap yesterday and I watched her stories today....oh lord Iâ€m just torturing myself ðŸ¤¦ðŸ»â€â€ï¸ðŸ˜­,anger,
85,"When you should be working, but you're shopping amazon prime deals instead... ðŸ˜¦",anger,
86,@WILLLANNO Man u r just bitter about Manu making great strides... face with steam from nose ,anger,
87,I own lots of roller skate tools... and my new ones have different sizes on EVERY single screw ðŸ˜­ #newskates #cry,anger,
88,Exercise Science majors just don't learn how to 'lift weights' there is much more to realize. People need to educate themselves.,anger,
89,@1stripthetitles There are so many people who will never give up until justice is seen to be done. #Stripthetitles angry face ,anger,
90,@wine_mum_ @Bob_Lawblaw Please. Don't insult Goths.,anger,
91,"@Legendaerie Yeah, she just this tight boiling knot of anxiety and anticipation too. Be writing in a bit - still working around house atm.",anger,
92,@Jeffwickham @malanmiller the one college stadium I really hope the offense is atrocious Who TF is Derron Smith?,anger,
93,"@Transition My perception of J culture is that they would be torn between the ritualistic act, and the indignity of the experience :-)",anger,
94,I've seen some get so discouraged in their old age becos they aren't physically able 2 do the things for God they used 2 do in their youth.,anger,
95,grand theft auto V use rage engine?\n@RockstarGames Wow .....,anger,
96,"Some people take being called a 'B****, P****' as an insult, some take it as motivation. face with steam from nose ",anger,
97,Attention seeker Chris Uhlmann highly aroused over the attention he drew to himself now enjoying some fists of fury time @abcnews @abc730 pouting face ,anger,
98,@ABCTV @AuSenate @annabelcrabb I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,anger,
99,I deleted so many ppl off my snap,anger,
100,I feel so intimidated talking to chicken now that I know how pretty she is,anger,
101,Perez will gladly give Morata to Chelsea for some Â£60m. It's United he holds a 'fax' grudge with. pouting face ,anger,
102,its #easy to be #unhappy ðŸ˜,anger,
103,if jk realize what taehyung did can he do that to taehyung as a revenge? i would love to,anger,
104,@dweise @ImProspering44 @ajprimiano86 McNabb at times started out bad the defense made plays the offense found rhythm,anger,
105,There's really #NoTime to wait on the approval of someone who lives their life in #bitterness and #negativity #NoThanks #ImGood face with rolling eyes  angry face  unamused face ,anger,
106,@TeamBoA Jim is ok. He refuses to come back to #reality but at least he doesn't #insult like the rest of ignorants...,anger,
107,R5 fans confuse there hatred for being called a Disney band with hatred for a&amp;a. Sad. hot face ,anger,
108,If I'm talking about the Asian world. Club life.\n\nI'd probably say I might resent dorks. Or like less popular. I don't know the word. face with rolling eyes ,anger,
109,@SquawkCNBC Know how much in movie sales now&amp; forever in the future that the actors &amp; singers talking their crap about Trump Americans lost?,anger,
110,"Thankful 4 Mother Nature's help with the 'watering ', downside, my legs are protesting ðŸ˜£ #ouch #snap #crackle #pop rice crispies 4 legs ðŸ˜€",anger,
111,@weareremixes yeah he's delicious no need to threaten me face with steam from nose ,anger,
112,It was straight out of Harry Potter' - how a simple Tinder and Chill turned into a fiery reactionary debacle,anger,
113,"If you try to get rid of #fear and #anger without knowing their meaning, they will grow stronger and return.' \nâ€• Deepak Chopra",anger,
114,"@BethRigby ...so near yet so far.corbyn +lab doing much better but without even a majority + out of govt 3 times now, resentment will return",anger,
115,@snowflakenest @bollytoybee @Alexicon83 You need a new tactic post-Trump/Brexit. Hurling that insult around no longer works I'm afraid.,anger,
116,@mythos1014 I think I will tomorrow. I ain't ready for all those feels though. ðŸ˜¥,anger,
117,Anger is a loaded weapon...be careful where you point it.' ~ @FSonnenberg #anger,anger,
118,@shedboy23 @fhathast_tha there was a fair bit of raging folk last night... something to do with pension day?,anger,
119,its horribly gloomy out rn and im flourishing,anger,
120,By the time you've checked in online it's the price of a 2 weeks all inclusive holidays to the maldives. @Ryanair angry face ,anger,
121,@TuckerCarlson Was DonJr target of #sting b/c #RobGoldstoneEmail has all conspiracy-crime elements? HRC knew b/c tied Trump2Russia by 6/16? pouting face ,anger,
122,"@Belle_Canberra ya he was asking leading qns to provoke me, I wish I hadnt gotten so upset :) pouting face ",anger,
123,@OliviaSundberg1 thanks for this â€“ the perspective is shocking. it's getting to a point where it's near that number every week now.,anger,
124,@SadieAtkins Should have come with us #boiling #kefalonia #pretty,anger,
125,"Its not only okay to curse, its heathy. The act of profanity is therapeutic &amp; kind, used to burst people from a insulated bubble of #apathy. face with rolling eyes ",anger,
126,@lukeWHC09 Hahaaa! Was fuming with that ðŸ˜žðŸ˜‚,anger,
127,@ellagallagher Thing is tho my pout was actually serious face with rolling eyes ,anger,
128,"AJ ends up being a terrible character, but no one in his family ever actually speaks to him. He witnesses so much and just gets sent away.",anger,
129,"@ReidGenar @tedcruz So much crow eating to come, crows may become an endangered species. #revenge",anger,
130,it confuses me how burning man people seem to legitimately think they invented camping,anger,
131,Johnny doesn't seem like the suicidal type #suspicion #tcmparty,anger,
132,"Oh death, where is your sting?",anger,
133,@TracyMcMillan saw your insta about #anger. \n1) helpful perspectives! 2) thank you 3) I'm not an angry person: how to talk to angry people?,anger,
134,Am I in labor yet?? ðŸ˜­ðŸ˜« #miserable,anger,
135,"I respect facebook and them killing Snapchat. If you can't buy em, beat em #fb",anger,
136,@Seth_Broughton7 @SquerkYoshi @Mabbupuku @Emerldd @PartyInnaBox @cod_de_la_cod FREE MY MAN FROM KROGER ðŸ˜¤,anger,
137,@YaihraLovesU Oh my lord no I just be letting him hit himself cause he throws himself on the floor and throw tantrums ðŸ¤¦ðŸ½â€â€ï¸,anger,
138,@TrinityTheTuck Who do y'all never come to Boston? Or just Massachusetts in general? #bitter angry face ,anger,
139,@imaster78 @ll_DannyM7_ll @TOMGORIANXVII @STSF1_Racing I didn't say it because you left the party and game in a huff,anger,
140,"@PSHalabi what are the current statistics concerning 'backdoor abortions'. If alarming, what preemptive measures are in place?",anger,
141,@waglenikhil don't worry we will take revenge u plan to run naked first .. when r u doing it ... We are showing ur hypocrisy angry face ,anger,
142,"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",anger,
143,@kylegriffin1 @tkdmike you mean the ðŸŠðŸ¤¡ didn't tweet the correction...? #shocking,anger,
144,"Not only was @ReignOfApril and @deray responsible for the unnecessary outrage of this movie, but made the director @mattreevesLA look bad",anger,
145,hate tan lines but refuse to tan at a salon anymore. ðŸ„ face with steam from nose ,anger,
146,Shoutout to all the pubescent girls who won't have to go through the tweeze your whole #eyebrows off phase. #socialmediasaves #bitter,anger,
147,I don't fear the unsettling demons inside of me. I let them conquer the weakest nook of my soul for that is the only provenance of my power.,anger,
148,@Impeach_D_Trump I was wondering earlier how much NPD rage has been slung at Jr. because he's not as cocky as usual. Lol Hopefully a lot.,anger,
149,"If Zero's flower is such a vector for God's wrath then I'm the raven who gardens and culls those weeds. Or, I EAT FLOWERS FOR ALL MEALS~!!'",anger,
150,I thought he cried over some of his relative death or something but when i know the truth . I just wanna burst out ðŸ˜‚,anger,
151,Okay this girl On teen mom is screaming but she only 2 cm dilated ðŸ˜­ when I was 2 cm I was just pissed bc she wouldn't give me water angry face ,anger,
152,Where did I go wrong?\nI lost a friend\nSomewhere along in the bitterness \nâ€” pouting face ,anger,
153,"i'm freezing in the sun, i'm burning in the run pouting face ",anger,
154,This weather is appalling but at the same time I'm glad it's not boiling anymore,anger,
155,#muggymike #revenge oh dear pouting face ,anger,
156,@brrttcnln I don't suppose you've figured out how to get the extra boxes on the wrath of cortex?,anger,
157,"If someone gives you a confidential memo regarding the President of U.S., and tells you to leak it to the press, alarm bells should go off face with steam from nose ",anger,
158,Nicole: we have to go somewhere warm and tropical\nMe: okay where?\nNicole: Oakland\n\nWhy does no one in my life ever look at a map?? #lost face with steam from nose ,anger,
159,"AJ's epic 'Anger Montage' is coming up next! Kids, always be happy. Don't be an angry AJ.\n#anger #rage #montage",anger,
160,Nothing wrong with #anger it's how you use it!,anger,
161,@GLOBALINTLrp Not like that.. You said you wanna leave for a while and come back soon. I don't look for you bcs i'm afraid i'll annoy you..,anger,
162,@cyclingweekly 'shocking' ??? Nah that's not Shocking . Richie Portes crash ...THAT WAS shocking . #tourdefrance2017,anger,
163,"Secret is out, for bday gift taking my lovely @TLaughlin9 @summer1624 to @deadmau5 at @CaesarsWindsor in October #canada #rage",anger,
164,@Teenique yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new seasonðŸ˜ angry face ,anger,
165,@liwei987891 Greetings! #Depression is #anger inward.Secondary feeling.Its hurt needs #healing.Tears taken from inward to outward.Eph4:19 angry face ,anger,
166,@websvalor (c) grew with resentment for herself and the world around her.\n\nHer spine tingled as she heard the incessant clicking of a (c) angry face ,anger,
167,"Liberal Parisians were further enraged by the fear that a concentration of Royal troops, brought to Versailles from frontier garrisons, face with steam from nose ",anger,
168,"When you wake up early to workout and then the fitness room smells awful, so you come back to your room to do core... angry face ",anger,
169,"They are burning not Muslims Economy,\nThey are burning the Economy of Sri-Lanka angry face ",anger,
170,"Hi, are u feeling matter? Try our today's special cloudy blue thumb with ground beef and blueberry, then you will feel irate. pouting face  angry face ",anger,
171,@Jenlynn219 I wonder if your face immediately contorts into a scowl when you put it on your head? pouting face ,anger,
172,Then I frown,anger,
173,"The bathroom sink just spat a spider at me. I turned on the faucet, and a sizable spider flew up out of the drain. #spiders #fb",anger,
174,@RoguePOTUSStaff Maybe Don Jr isn't dumb but wants to take revenge on his dad?,anger,
175,@GvanOnselen @BDliveSA You mean the President Protector? The rabid revolution sleeper agent gone rogue? face with steam from nose ,anger,
176,Gutted for #andymurray. #sadness #balls #Wimbledon2017 ðŸŽ¾ðŸ˜¬ðŸŽ¾,anger,
177,I was patient â˜ðŸ¾âŒ›ï¸you was faking ðŸ¤¦ðŸ½â€â‚ï¸ðŸ–•ðŸ¾I was waiting ðŸ•°stuck around then the money came in ðŸ’°ðŸ’¸... Luv is rage 2 gone be hard ðŸ˜†,anger,
178,Working on the next #StarTrek #vidme video! I'm hoping I can fix my terrible audio crap from the last one ðŸ¤£ #SpecialBreedEnt,anger,
179,"- Make it unaffordable for locals.\n- Sell &amp; resell among their own.\n- 'No value, for money land' for locals.\n- Local resentment.",anger,
180,"@FlamingGrillby --been a damn sight better!' Grisk poked Grillby's chest, a low snarl leaving him.",anger,
181,@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,anger,
182,"Consider the language. She says DJT Jr. Sought, wasn't promised, dirt on HRC. Will inflame the left, may compel the right to lash out.",anger,
183,@kamaalrkhan #shows how #irritated @kamaalrkhan #brandkrk is #feeling for his #community #brothers! So #Helpless ðŸˆðŸˆðŸˆ #ShameOnBhakts,anger,
184,So Dorje Shugden has been sent a leaf to be torn. Rothschild is struck by Indra wrath lightning and also Iron Fist. 10 bloodlines 2b removed,anger,
185,"Honey, you hurt me the way the sun touches my skin today #burning angry face ",anger,
186,You can only help those who help themselves... #irritated #thisisntmyjob pouting face ,anger,
187,Watching #insecure ... this bitch cheating on her loyal ass Boyfriend! And she makes breakfast to stay happy ðŸ„ pouting face ,anger,
188,@n_umira omg why â˜¹ pouting face ,anger,
189,@ANI_news Wot an insult.,anger,
190,No offense to the girl next to me but dousing yourself with cheap cologne won't hide your rank smell,anger,
191,Florian Picasso - Final Call' is raging at ShoutDRIVE!,anger,
192,my hair now matches my attitude #fiery face with steam from nose ,anger,
193,So tired. All these freshies and all i'm unhappy at are these volunteers.,anger,
194,@foxnewspolitics @HowardKurtz The left is sooo rabid for something of substance; yet they are forced to feed off innuendo and smearing pouting face  angry face ,anger,
195,@catherinebenham DO THE THING enrage all the people who cannot Do The Thing pouting face  angry face ,anger,
196,@Paula_Deen Why dont you have nothing #to. #insult #justajoke #seriously,anger,
197,@Alyssa_Milano @IvankaTrump #Alyssa Y don't U use your voice 4 good instead of #hatred &amp; #Resistance of @POTUS? I'm sure #Ivanka could help! pouting face ,anger,
198,furious refrigerator makes you blitzed,anger,
199,"@AdamBaldwin He left a long time ago. In fact, the Repubican party left the Repubican party a long time ago. #shocking #nonotreally face with symbols on mouth ",anger,
200,Traffic delays continue around Broadway #Treforest due to burst water main @DwrCymru currently dealing with the situation face with symbols on mouth ,anger,
201,@ShaneMalwa @MajorPoonia @devyanidilli I believe ur mekka n madina also dikling which u kiss. A dark dirty one angry face ,anger,
202,All this fake outrage. Y'all need to stop ðŸ¤£,anger,
203,@laurierecords The worst is getting so very close to life changing contracts and coming up short. Feels like starting over. :-/ #relentless,anger,
204,Hi @AmazonHelp my hairdryer that is less than a year old has started smelling of burning plastic- can you help?,anger,
205,Can't pretend that I was perfect leaving you in fear #revenge ðŸ”¥ðŸ”¥ðŸ”¥ face with steam from nose ,anger,
206,"With James gone, no player would be throwing tantrums when subbed anymore.",anger,
207,And let the depression take the stage once more ðŸƒ angry face ,anger,
208,@topnotch200 I don't know my mouth was burning the whole time,anger,
209,"@EdelMHennessy @DrBron The people worth knowing never behave like that, so methinks it's a bit of denial and resentment unamused face ",anger,
210,Doors and windows closed but still it's hard to breath. #Vesuvio #Onfire #air #napoli #loveofmylife #burning,anger,
211,Hey @ShutdownSafety would it be safe to assume that this is the most disappointing #madden in years in your opinion?,anger,
212,@the_shota Too true- my logic was blinded by outrage ......,anger,
213,Instead of working on not offending others I wanna work on learning never to get offended. Life's to short to live on a fence #offense,anger,
214,@trash_addict Things I've been called/heard with literally no provocation. I've just played and talked about the game:,anger,
215,@Miss_Wisconsin It's amazing what not being told no enough can raise. #horrid,anger,
216,I keep it real.. sorry if you get offended ðŸ¤·ðŸ½â€â‚ï¸,anger,
217,@realDonaldTrump Maybe we can save them all from the desolate hell that I have no idea about,anger,
218,Love u so much but u always get angry at meðŸ˜” pouting face ,anger,
219,the only problem people should have in the morning is burning their tounges on hot coffee (like i just did) pouting face ,anger,
220,I've seen the innocence leave your eyes. I still mourn this death.,anger,
221,I have a fiery passion for dogs because of how destructive they are.,anger,
222,@dailysunsa Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee,anger,
223,"@narendramodi Sir, people need revenge",anger,
224,"Wanting to leave this planet, listening to what gets radio-play #grim",anger,
225,@KokuKokuBoo It's kay. They were my main healer/caster in HW...but not for SB (for now) sadly.,anger,
226,"@emilyhroderick Electronics also have foibles, personality faults, like to sulk and crash just like humans... switch off and desolder unamused face  angry face ",anger,
227,mom asked if i wanted acrylics &amp; i said 'no because you never know when someone gon let me tickle they pussy' she was deeply offended. lbvs,anger,
228,"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fucking asked, I care ðŸ˜¤",anger,
229,@Laceupboxing Max Â£1 bet #crap,anger,
230,Mosquito bit my ankle this morning ðŸ˜¢ walking into the house . angry face ,anger,
231,"Again, this q. is brought to you by my slight feelings of irritation when I see 'obligated' over 'obliged', and I want to know if I'm right.",anger,
232,going to sleep was a bad idea i had a horrible nightmare abt what i hate the most in a nightmare but its fine im ok,anger,
233,"@PoliticsNewz Hmm where is the outrage from the WH! Oh yeah, wrong nationality!",anger,
234,@GoldingBF Genuine refugees are terrified of authority figures. They wouldn't provoke them like this mob.,anger,
235,discouraged pouting face ,anger,
236,"@ahaf21 Maaaan... Fox &amp; The Hound ain't no joke. Also, Pinocchio is got damned terrifying. Legit horror film.",anger,
237,"@arifurldn ðŸ˜­ðŸ˜­yeah i wouldnt entertain bigots like that, gives them a reason for provocation face with steam from nose ",anger,
238,@ggreenwald Macron slips up and has a moment of clarity &amp; common sense...now he is a raging racist. Sounds right. #LiberalLogic,anger,
239,"I'm also wheezing really hard. I decided to make up today, and then after I got to work realized it was mbbsd, and now I'm #intimidated face with symbols on mouth ",anger,
240,When you watch @WSOP #MainEvent and play a small tourn. in your local ðŸ‡¦ðŸ‡¹ cardroom. #limpedpot #familypot #horrible #polkish,anger,
241,@GutoAberconwy Your majority is 635 members of the public- believe me you have offended rather more than 635 voters! face with steam from nose ,anger,
242,"@realYoshiPlayer No offense, but this post makes you look like an opinion disrespecter. angry face ",anger,
243,@setsmiling Happy Birthday arsehole. Hope you have an average day â˜ºï¸â˜ºï¸ angry face  pouting face ,anger,
244,Found out the peraon i liked wanted to that someone else #sadness,anger,
245,man I hate Spider-Man and I ain't even watch it yet ðŸ˜¤ pouting face ,anger,
246,Battery drain &amp; a red hot iPhone (again) ðŸ #iOS11beta3,anger,
247,"@jhN322 Ephesians 4:31\nLet all #bitterness, #wrath, #anger, #clamor, and evil speaking be put away from you, with all #malice. pouting face ",anger,
248,The courts are really going to frown upon #butheremails as a defense. #Trump has to be impeached. The rest of the Kremlin clan get a jury. angry face ,anger,
249,@nkrrao karamadai ranganatha. Pallikondeeswarar shiva. Some more avl. Dont outrage without reason @kalps1616 angry face ,anger,
250,"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. Jeez ðŸ˜Ÿ",anger,
251,Police - This is the Police !! Open your door now !! \n\nMe - Not with that attitude !! ðŸ˜‚ðŸ˜‚ \n\n#sarcasm #insult #mockery,anger,
252,"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump.",anger,
253,@narendramodi There should need to take serious action over terrorism sir pouting face ,anger,
254,@jennvalley14 There would be no hesitation in naming 50 other things I'd rather be doing rn angry face ,anger,
255,@whatthefarrugia still trembling,anger,
256,So who actually leaked the info on jr. meeting with Russian lawyer? Putin? Was he angry w Trump?,anger,
257,idk if i should be angry or happy that a local &amp; trusted online shop i've been following since 2015 is already doing wanna one g/o's KJDSAHK,anger,
258,@washingtonpost WP your the mouthpiece for the biggest supporters of cartels and arms dealers in a fast and furious way pouting face ,anger,
259,"If you see @MikeGHealey these next few days, give him a disappointing head shake.......he broke my pop socket. . pouting face  face with rolling eyes ",anger,
260,The second type of #anger is named 'settled and deliberate' and is a reaction to perceived deliberate harm or unfair treatment by others.,anger,
261,Good to see India indignant about Amarnath Yatra. Do also try and visit the area around it too. There may be some more graves to weep for.,anger,
262,@PocketsotFuture @YouTube U envying Blac Chyna money yet wanting donations urself 4 whiteman #gossip #snarl! pouting face ,anger,
263,#RepChrisCollins ðŸŽƒ #spins #excuses for #hatred #racism Everyone in #America heard #TrumpðŸŽƒsay some #WhiteSupremacists are #GOODpeople âœ…MSNBC pouting face ,anger,
264,"when shopping for clothing, grab a clerk by the shoulders &amp; angrily ask if you're at the flagship store to show you're serious about apparel",anger,
265,"Nice one #EE so much for data protection, not impressed that you can talk to someone the opposite sex who guessed my password, pouting face ",anger,
266,"Chuck Norris enjoys hunting for rabid, vicious tigers with his cork rifle.",anger,
267,they blowing me ðŸ˜¤ unamused face ,anger,
268,"@FoxHedgehog @guardian I was too. Should've written in, but can't help wonder if this was reaction they wanted - righteous indignation!?",anger,
269,Pope fuming after police broke up drug-fuelled Vatican priest gay orgy' \nAts some headline pouting face ,anger,
270,"@schuygoo : 'like honestly, partying would probably come #1 either way' \nðŸ˜‚ðŸ˜‚ #rage",anger,
271,A #nation is a #society #united by #delusions about its #ancestry and by common #hatred of its #neighbors.' #Fact #TeamFollowBack pouting face ,anger,
272,Does anybody mom annoy them just by talking and she probably not even trying to annoy you ðŸ˜‚ pouting face ,anger,
273,#Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment! #bigly #covfefe #TrustNoOne,anger,
